pathway	pval	padj	ES	NES	collection	label	dataset	contrast	tissue	sex
HALLMARK_MYC_TARGETS_V1	2.45165912902909e-10	2.45165912902909e-09	0.46283326486335	2.17188001453395	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_MYC_TARGETS_V2	0.0258221089225508	0.0590069455008883	0.389375492130515	1.48770324018582	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_MYOGENESIS	0.112656467315716	0.20012315270936	0.260981825562183	1.21238120105086	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_NOTCH_SIGNALING	0.0759493670886076	0.140646976090014	-0.38643637215398	-1.37874391744594	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_OXIDATIVE_PHOSPHORYLATION	6.28929357209232e-07	5.2410779767436e-06	0.415620472394157	1.93537081474547	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_P53_PATHWAY	0.00137008645823155	0.00489316592225552	-0.29638803588042	-1.50309764083779	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_PANCREAS_BETA_CELLS	0.867364746945899	0.885066068312142	0.248339632674173	0.699035807217126	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_PEROXISOME	0.146189735614308	0.228421461897356	0.295540762266646	1.22925059834895	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.475783475783476	0.564368517388652	-0.218336934587225	-0.998866364006353	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_PROTEIN_SECRETION	0.00013392753039593	0.00066963765197965	0.437707868738113	1.84193081821338	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.0703517587939698	0.135291843834557	-0.342879798338125	-1.33727355138467	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_SPERMATOGENESIS	0.266153846153846	0.36965811965812	0.281339352587941	1.12463038465995	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_TGF_BETA_SIGNALING	0.55026455026455	0.6114050558495	-0.238026334824213	-0.947661858999862	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0181583304653585	0.0453958261633961	-0.274217504348783	-1.37670361578618	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	4.19708244144386e-05	0.000233171246746881	0.436055187865329	1.89010937300303	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_UV_RESPONSE_DN	0.44267053701016	0.5533381712627	0.224903950351887	1.00624166226473	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_UV_RESPONSE_UP	0.264331210191083	0.36965811965812	-0.224037375461992	-1.08567078957332	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.0513652855525472	0.102730571105094	-0.37951554377217	-1.4010601168569	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_XENOBIOTIC_METABOLISM	0.364583333333333	0.46741452991453	-0.208837538434263	-1.0363280574343	Hallmark	GXL_C2_Heart_female	GXL	C2	Heart	female
HALLMARK_ADIPOGENESIS	0.222565687789799	0.337220739075453	0.234148650448687	1.1188736181043	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_ALLOGRAFT_REJECTION	1.42338575589848e-05	0.000171123236759612	0.403518663177801	1.87137820401707	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_ANDROGEN_RESPONSE	0.656019656019656	0.713064843499626	-0.198226089310221	-0.915923388655815	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_ANGIOGENESIS	0.06070826306914	0.131974484932913	0.404474487909763	1.42185422913257	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_APICAL_JUNCTION	0.0514820592823713	0.117004680187207	0.281906801735069	1.30853033516396	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_APICAL_SURFACE	0.111111111111111	0.191570881226054	0.378272724553717	1.33902232776288	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_APOPTOSIS	0.0490506329113924	0.116787221217601	0.285027735957274	1.30052873781724	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_BILE_ACID_METABOLISM	0.205	0.3203125	0.273890634241599	1.15645828327613	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.405723905723906	0.518145161290323	0.253098942299863	1.02633720185267	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_COAGULATION	7.68034237024924e-12	3.84017118512462e-10	0.5798041388123	2.52683960264219	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_COMPLEMENT	4.60154381246113e-05	0.000377212480836534	0.383159792823679	1.7785176130518	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_DNA_REPAIR	0.849683544303797	0.885087025316456	0.181937467087057	0.830701521214302	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_E2F_TARGETS	0.00129326781916002	0.00646633909580009	-0.300824140076841	-1.53590347859777	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.000328531762026762	0.00182517645570423	0.357505166257818	1.68600844159027	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.0985915492957746	0.189599133261105	0.266144936949103	1.23801938712978	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_ESTROGEN_RESPONSE_LATE	5.28097473171147e-05	0.000377212480836534	0.379927134459293	1.75703264399554	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_FATTY_ACID_METABOLISM	0.0400641025641026	0.100160256410256	0.292115519748525	1.32291997336448	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_G2M_CHECKPOINT	0.00610416901755325	0.0218006036341187	-0.272520005458538	-1.38960113605487	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_GLYCOLYSIS	0.0321151768267147	0.0944564024315139	0.281498108471201	1.32191389062242	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_HEDGEHOG_SIGNALING	0.407142857142857	0.518145161290323	-0.282424042986546	-1.01944484813939	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_HEME_METABOLISM	0.69826224328594	0.742832173708447	0.195384888389932	0.907814069300685	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_HYPOXIA	0.256651017214397	0.377427966491761	0.232655942513119	1.0972145862093	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_IL2_STAT5_SIGNALING	0.558359621451104	0.6344995698308	0.20481791984565	0.958346800543764	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_IL6_JAK_STAT3_SIGNALING	8.47942344535323e-05	0.000529963965334577	0.474826244942244	1.94057168190762	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_INFLAMMATORY_RESPONSE	0.00258491915877056	0.0112563508802946	0.334645889425772	1.54783569534014	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0387145050718701	0.100160256410256	-0.295770096608665	-1.37334442680431	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.338509316770186	0.457445022662414	0.222745495580274	1.05706601800886	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_KRAS_SIGNALING_DN	0.144246353322528	0.240410588870881	0.278321388213567	1.20690116485195	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_KRAS_SIGNALING_UP	1.71123236759612e-05	0.000171123236759612	0.389662720948751	1.83080036682797	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_MITOTIC_SPINDLE	0.0955056179775281	0.189599133261105	-0.229455632556817	-1.17739886676875	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_MTORC1_SIGNALING	0.543076923076923	0.631484794275492	0.201498675020676	0.96306638319315	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_MYC_TARGETS_V1	0.895774647887324	0.895774647887324	-0.164095740602794	-0.843748986590069	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_MYC_TARGETS_V2	0.884615384615385	0.895774647887324	0.194490060304549	0.760479308844405	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_MYOGENESIS	8.19594831032084e-11	1.36599138505347e-09	0.478765297185406	2.26509955301336	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_NOTCH_SIGNALING	0.158783783783784	0.256102877070619	0.35913948382715	1.25470886400525	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0250969950994526	0.0834410578285831	0.286548088560588	1.35935694101884	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_P53_PATHWAY	0.272445820433437	0.389208314904909	0.228071144931513	1.08535596400343	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_PANCREAS_BETA_CELLS	0.476102941176471	0.580613342898135	0.342193258824683	0.994860748718022	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_PEROXISOME	0.107023411371237	0.191113234591495	0.300704514299799	1.26214064660241	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.493377483443709	0.587354146956796	0.228153777378609	0.976809336065339	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_PROTEIN_SECRETION	0.106965174129353	0.191113234591495	-0.265044414985556	-1.22431243224647	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.0027015242112707	0.0112563508802946	0.475098185249953	1.77611027614342	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_SPERMATOGENESIS	0.30272952853598	0.420457678522195	-0.248852590559804	-1.07724730588499	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_TGF_BETA_SIGNALING	0.621392190152801	0.690435766836446	0.239780333839495	0.914576762751033	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0803149606299213	0.167322834645669	0.267637334167998	1.25560595459591	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.414516129032258	0.518145161290323	0.23246513148743	1.01687557312968	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_UV_RESPONSE_DN	0.0267011385051466	0.0834410578285831	-0.273341734080579	-1.33322948260936	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_UV_RESPONSE_UP	0.00347206813471134	0.0133541082104282	0.35044118240367	1.5844686675822	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.0374053189100194	0.100160256410256	-0.377176981472698	-1.41970550894796	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_XENOBIOTIC_METABOLISM	2.92983893078115e-11	7.32459732695288e-10	0.50138090394449	2.3322603335439	Hallmark	GXL_C3_Heart_female	GXL	C3	Heart	female
HALLMARK_ADIPOGENESIS	0.28080229226361	0.435274444225851	-0.220089852789912	-1.06644435522621	Hallmark	GXL_C1_Liver_female	GXL	C1	Liver	female
HALLMARK_ALLOGRAFT_REJECTION	0.0010796791782854	0.00771199413060997	-0.328901420975535	-1.57302820000553	Hallmark	GXL_C1_Liver_female	GXL	C1	Liver	female
HALLMARK_ANDROGEN_RESPONSE	0.0468497576736672	0.141215424321136	0.331999983201048	1.36311796339665	Hallmark	GXL_C1_Liver_female	GXL	C1	Liver	female
HALLMARK_ANGIOGENESIS	0.056036792371772	0.141215424321136	0.464648857193127	1.47347380144886	Hallmark	GXL_C1_Liver_female	GXL	C1	Liver	female
HALLMARK_APICAL_JUNCTION	0.544478527607362	0.663998204399222	0.218123401487865	0.970600905744497	Hallmark	GXL_C1_Liver_female	GXL	C1	Liver	female
HALLMARK_APICAL_SURFACE	0.844947735191638	0.938830816879597	0.225750134559519	0.757055622336169	Hallmark	GXL_C1_Liver_female	GXL	C1	Liver	female
HALLMARK_APOPTOSIS	0.125766871165644	0.251533742331288	0.273497786199433	1.21190578399724	Hallmark	GXL_C1_Liver_female	GXL	C1	Liver	female
