ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	Tissue	Gender	group	direction
R-MMU-983695	Antigen activates B Cell Receptor (BCR) leading to generation of second messengers	13/775	23/6720	0.565217391304348	4.90098176718092	6.76588997799123	2.19592015654049e-07	1.41721308564421e-05	1.2499853198769e-05	Blnk/Btk/Cd22/Cd79b/Dapp1/Itpr3/Pik3cd/Plcg2/Ptpn6/Sh3kbp1/Stim1/Syk/Vav1	13	Liver	Male	WT	Up
R-MMU-380108	Chemokine receptors bind chemokines	15/775	31/6720	0.483870967741935	4.19562955254943	6.43848843644188	3.7672824450539e-07	2.25767855100016e-05	1.99127786381421e-05	Ccl3/Ccl4/Ccl5/Ccr5/Ccrl2/Cx3cl1/Cxcl13/Cxcl16/Cxcl9/Cxcr2/Cxcr3/Cxcr4/Cxcr6/Pf4/Ppbp	15	Liver	Male	WT	Up
R-MMU-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	24/775	71/6720	0.338028169014085	2.93103134938664	5.9056482295103	5.6438297616658e-07	3.1567821133584e-05	2.78428934908846e-05	Actg1/Actr3/Arpc1b/Btk/Cd3g/Dock1/Elmo1/Fcgr1/Fcgr4/Fgr/Fyn/Hck/Lyn/Myo1c/Myo5a/Nckap1l/Plcg2/Pld4/Prkcd/Syk/Vav1/Vav3/Wasf2/Wipf1	24	Liver	Male	WT	Up
R-MMU-114604	GPVI-mediated activation cascade	15/775	32/6720	0.46875	4.06451612903226	6.27358823796064	6.34233423783463e-07	3.32576151596454e-05	2.93332958499852e-05	Clec1b/Fcer1g/Fyn/Lck/Lcp2/Lyn/Pik3cg/Pik3r5/Pik3r6/Plcg2/Ptpn6/Rac2/Syk/Vav1/Vav3	15	Liver	Male	WT	Up
R-MMU-1474244	Extracellular matrix organization	41/775	169/6720	0.242603550295858	2.10360755869441	5.24603835200847	2.05264149639867e-06	0.000101303895028146	8.93502769020598e-05	Adam19/Adamts4/App/Bgn/Cd44/Col4a3/Col4a4/Col5a2/Colgalt1/Ctsb/Ctsd/Ctsk/Ctss/Dcn/Ddr1/Elane/Emilin2/Fbn1/Itga9/Itgal/Itgax/Itgb2/Itgb3/Itgb7/Jam2/Ltbp1/Lum/Mmp12/Mmp13/Mmp14/Mmp2/Mmp8/Mmp9/Nid1/P3h2/Pecam1/Scube1/Sdc3/Tgfb1/Tnc/Vwf	41	Liver	Male	WT	Up
R-MMU-388841	Costimulation by the CD28 family	19/775	52/6720	0.365384615384615	3.1682382133995	5.66680296927519	2.26327047584392e-06	0.000105493551624058	9.30455640069168e-05	Akt1/Akt3/Cd274/Cd28/Cd3e/Cd3g/Cd80/Cd86/Fyn/Grap2/Icos/Icosl/Lck/Lyn/Map3k14/Map3k8/Ppp2cb/Ptpn6/Vav1	19	Liver	Male	WT	Up
R-MMU-9013149	RAC1 GTPase cycle	37/775	150/6720	0.246666666666667	2.13883870967742	5.09275058897493	4.27149828862884e-06	0.000188620371797873	0.000166363617557123	Abr/Arhgap10/Arhgap15/Arhgap25/Arhgap27/Arhgap30/Arhgap31/Arhgap9/Arhgdib/Arhgef6/Arhgef7/Cyba/Cybb/Dock1/Dock10/Dock11/Dock2/Ect2/Fmnl1/Iqgap1/Iqgap3/Lbr/Ncf1/Ncf2/Ncf4/Nckap1l/Pkn1/Prex1/Racgap1/Sh3bp1/Swap70/Tagap/Vamp3/Vav1/Vav3/Vrk2/Wasf2	37	Liver	Male	WT	Up
R-MMU-76005	Response to elevated platelet cytosolic Ca2+	30/775	114/6720	0.263157894736842	2.28183361629881	4.98358695270835	8.77974629910956e-06	0.000368310357247646	0.000324850613067054	Abcc4/Actg1/Anxa5/App/Cd63/Clu/Cyrib/F13a1/Fermt3/Hgf/Itgb3/Kng2/Pcdh7/Pdgfb/Pecam1/Pf4/Plek/Ppbp/Prkcb/Psap/Serpina3f/Srgn/Tagln2/Tgfb1/Timp3/Tmsb4x/Tor4a/Trf/Vwf/Wdr1	30	Liver	Male	WT	Up
R-MMU-6803157	Antimicrobial peptides	11/775	22/6720	0.5	4.33548387096774	5.65750382243469	9.49798209733436e-06	0.000373061646132466	0.000329041261189541	Camp/Clu/Ear2/Elane/Ltf/Lyz2/Rnase6/S100a8/S100a9/Slc11a1/Tlr1	11	Liver	Male	WT	Up
R-MMU-2029481	FCGR activation	8/775	12/6720	0.666666666666667	5.78064516129032	5.98422409124113	9.78230776509447e-06	0.000373061646132466	0.000329041261189541	Cd3g/Fcgr1/Fcgr4/Fgr/Fyn/Hck/Lyn/Syk	8	Liver	Male	WT	Up
R-MMU-114608	Platelet degranulation	29/775	110/6720	0.263636363636364	2.28598240469208	4.90973307394726	1.1907907220233e-05	0.00043437974599024	0.000383123971433585	Abcc4/Actg1/Anxa5/App/Cd63/Clu/Cyrib/F13a1/Fermt3/Hgf/Itgb3/Kng2/Pcdh7/Pdgfb/Pecam1/Pf4/Plek/Ppbp/Psap/Serpina3f/Srgn/Tagln2/Tgfb1/Timp3/Tmsb4x/Tor4a/Trf/Vwf/Wdr1	29	Liver	Male	WT	Up
R-MMU-416476	G alpha (q) signalling events	29/775	111/6720	0.261261261261261	2.26538796861378	4.85338291091791	1.438883599418e-05	0.000503009724963208	0.000443655776487216	Anxa1/App/Btk/Ccl6/Cysltr1/Dgkd/Ednra/F2rl1/Ffar4/Fpr2/Gng2/Gngt2/Gpr65/Grk2/Hbegf/Itpr3/Kng2/Mapk7/P2ry10/P2ry6/Plcb2/Prkcd/Prkch/Ptafr/Rgs1/Rgs19/Rgs2/Rgs4/Rgs5	29	Liver	Male	WT	Up
R-MMU-199418	Negative regulation of the PI3K/AKT network	24/775	84/6720	0.285714285714286	2.47741935483871	4.91946053421784	1.56875902569129e-05	0.000526475529021996	0.000464352671604621	Akt1/Akt3/Cd28/Cd80/Cd86/Fgfr1/Fyn/Hbegf/Hgf/Icos/Ier3/Irs2/Lck/Nrg1/Ntf3/Ntrk2/Pdgfb/Pdgfra/Phlpp2/Pik3cd/Pip4k2a/Ppp2cb/Rac2/Vav1	24	Liver	Male	WT	Up
R-MMU-1679131	Trafficking and processing of endosomal TLR	7/775	10/6720	0.7	6.06967741935484	5.79223680039382	2.3178218302356e-05	0.000747943275218334	0.00065968775168244	Ctsb/Ctsk/Ctss/Lgmn/Tlr7/Tlr8/Tlr9	7	Liver	Male	WT	Up
R-MMU-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	22/775	77/6720	0.285714285714286	2.47741935483871	4.70754264427926	3.52532338228689e-05	0.00109546159916248	0.000966199741811962	Akt1/Cd28/Cd80/Cd86/Fgfr1/Fyn/Hbegf/Hgf/Icos/Ier3/Irs2/Lck/Nrg1/Ntf3/Ntrk2/Pdgfb/Pdgfra/Pik3cd/Pip4k2a/Ppp2cb/Rac2/Vav1	22	Liver	Male	WT	Up
R-MMU-2029482	Regulation of actin dynamics for phagocytic cup formation	17/775	52/6720	0.326923076923077	2.83473945409429	4.79518667370345	4.15168030843882e-05	0.00121733547538845	0.00107369279116502	Actg1/Actr3/Arpc1b/Btk/Cd3g/Dock1/Elmo1/Fcgr1/Fcgr4/Myo1c/Myo5a/Nckap1l/Syk/Vav1/Vav3/Wasf2/Wipf1	17	Liver	Male	WT	Up
R-MMU-5668599	RHO GTPases Activate NADPH Oxidases	10/775	21/6720	0.476190476190476	4.12903225806452	5.18491858327333	4.20771499240346e-05	0.00121733547538845	0.00107369279116502	Cyba/Cybb/Ncf1/Ncf2/Ncf4/Prkcb/Prkcd/Rac2/S100a8/S100a9	10	Liver	Male	WT	Up
R-MMU-194138	Signaling by VEGF	25/775	97/6720	0.257731958762887	2.23478550049884	4.42259583979879	7.08932582749966e-05	0.0019205081352962	0.00169389275341977	Actg1/Akt1/Akt3/Axl/Cdh5/Cyba/Cybb/Dock1/Elmo1/Flt1/Flt4/Fyn/Itgb3/Mapkapk3/Ncf1/Ncf2/Ncf4/Nckap1l/Nrp2/Prkcb/Prkcd/Shc2/Vav1/Vav3/Wasf2	25	Liver	Male	WT	Up
R-MMU-9012999	RHO GTPase cycle	66/775	361/6720	0.182825484764543	1.58527388079707	4.12710553010336	7.096037210272e-05	0.0019205081352962	0.00169389275341977	Abr/Actg1/Ankfy1/Anln/Arhgap10/Arhgap11a/Arhgap15/Arhgap19/Arhgap25/Arhgap27/Arhgap30/Arhgap31/Arhgap9/Arhgdib/Arhgef2/Arhgef6/Arhgef7/Basp1/Ckap4/Cpd/Cyba/Cybb/Dock1/Dock10/Dock11/Dock2/Ect2/Epsti1/Fgd2/Fmnl1/Fmnl2/Fmnl3/Gja1/Iqgap1/Iqgap3/Lbr/Lck/Myo9a/Ncf1/Ncf2/Ncf4/Nckap1l/Pcdh7/Peak1/Pkn1/Plekhg5/Plxna1/Prex1/Rac2/Racgap1/Rhoc/Rhoh/Rhoq/Rnd2/Sh3bp1/Stk10/Swap70/Tagap/Tor1aip1/Tpm4/Vamp3/Vav1/Vav3/Vim/Vrk2/Wasf2	66	Liver	Male	WT	Up
R-MMU-389356	CD28 co-stimulation	12/775	31/6720	0.387096774193548	3.35650364203954	4.74783487892096	8.91253722969233e-05	0.00230004410297761	0.00202864438164891	Akt1/Akt3/Cd28/Cd80/Cd86/Fyn/Grap2/Lck/Lyn/Map3k14/Map3k8/Vav1	12	Liver	Male	WT	Up
R-MMU-9013404	RAC2 GTPase cycle	21/775	76/6720	0.276315789473684	2.39592529711375	4.41856658812367	9.0466573776235e-05	0.00230004410297761	0.00202864438164891	Abr/Cyba/Cybb/Dock1/Dock10/Dock2/Iqgap1/Lbr/Ncf1/Ncf2/Ncf4/Nckap1l/Prex1/Rac2/Racgap1/Swap70/Vamp3/Vav1/Vav3/Vrk2/Wasf2	21	Liver	Male	WT	Up
R-MMU-2424491	DAP12 signaling	11/775	27/6720	0.407407407407407	3.5326164874552	4.76067069738688	0.000101740221421012	0.00251058958153616	0.0022143459956338	Btk/Fyn/Grap2/Klrk1/Lck/Lcp2/Plcg2/Syk/Trem2/Tyrobp/Vav3	11	Liver	Male	WT	Up
R-MMU-352230	Amino acid transport across the plasma membrane	9/775	19/6720	0.473684210526316	4.10730050933786	4.8968577700739	0.000108817495845529	0.00260851082898282	0.00230071276930546	Slc36a4/Slc38a1/Slc3a1/Slc43a2/Slc7a1/Slc7a5/Slc7a6/Slc7a7/Slc7a8	9	Liver	Male	WT	Up
R-MMU-210990	PECAM1 interactions	7/775	12/6720	0.583333333333333	5.05806451612903	5.07972598298336	0.000124044150208503	0.00289091783402594	0.00254979642095256	Fyn/Inpp5d/Itgb3/Lck/Lyn/Pecam1/Ptpn6	7	Liver	Male	WT	Up
R-MMU-202433	Generation of second messenger molecules	8/775	16/6720	0.5	4.33548387096774	4.82257594727956	0.000166261450038766	0.00377009071844661	0.00332522900077532	Cd3e/Cd3g/Fyb1/Grap2/Itk/Lck/Lcp2/Plcg2	8	Liver	Male	WT	Up
R-MMU-512988	Interleukin-3, Interleukin-5 and GM-CSF signaling	13/775	38/6720	0.342105263157895	2.96638370118845	4.38868156947028	0.000198446564851993	0.00438149126081111	0.00386448573659144	Cbl/Csf2rb/Csf2rb2/Fyn/Hck/Il2rb/Il2rg/Inpp5d/Lyn/Pik3cd/Ptpn6/Syk/Vav1	13	Liver	Male	WT	Up
R-MMU-1474228	Degradation of the extracellular matrix	20/775	75/6720	0.266666666666667	2.31225806451613	4.12600387767828	0.000224722168820737	0.00483440768309226	0.00426395910070116	Adamts4/Cd44/Col4a3/Col4a4/Col5a2/Ctsb/Ctsd/Ctsk/Ctss/Dcn/Elane/Fbn1/Mmp12/Mmp13/Mmp14/Mmp2/Mmp8/Mmp9/Nid1/Scube1	20	Liver	Male	WT	Up
R-MMU-622312	Inflammasomes	7/775	13/6720	0.538461538461538	4.66898263027295	4.78057813737642	0.000242087466865155	0.00507778461749663	0.00447861813700537	Aim2/Mefv/Nlrp3/P2rx7/Panx1/Pstpip1/Pycard	7	Liver	Male	WT	Up
R-MMU-2871809	FCERI mediated Ca+2 mobilization	10/775	25/6720	0.4	3.46838709677419	4.46411345379488	0.000253077184800064	0.00517882336700619	0.00456773455492799	Btk/Fcer1g/Grap2/Itk/Lcp2/Lyn/Plcg2/Syk/Vav1/Vav3	10	Liver	Male	WT	Up
R-MMU-389359	CD28 dependent Vav1 pathway	6/775	10/6720	0.6	5.20258064516129	4.80155644155833	0.000321709438232575	0.00613441406084387	0.00541056782482058	Cd28/Cd80/Cd86/Fyn/Lck/Vav1	6	Liver	Male	WT	Up
R-MMU-416700	Other semaphorin interactions	6/775	10/6720	0.6	5.20258064516129	4.80155644155833	0.000321709438232575	0.00613441406084387	0.00541056782482058	Plxna1/Ptprc/Sema4d/Sema6d/Trem2/Tyrobp	6	Liver	Male	WT	Up
R-MMU-844456	The NLRP3 inflammasome	6/775	10/6720	0.6	5.20258064516129	4.80155644155833	0.000321709438232575	0.00613441406084387	0.00541056782482058	Mefv/Nlrp3/P2rx7/Panx1/Pstpip1/Pycard	6	Liver	Male	WT	Up
R-MMU-8980692	RHOA GTPase cycle	28/775	125/6720	0.224	1.94229677419355	3.8393928631394	0.000362892640361407	0.0067345062185926	0.00593985053844878	Abr/Anln/Arhgap10/Arhgap11a/Arhgap19/Arhgap30/Arhgap31/Arhgap9/Arhgdib/Arhgef2/Arhgef7/Dock2/Ect2/Fmnl3/Iqgap1/Iqgap3/Lbr/Myo9a/Pcdh7/Pkn1/Plekhg5/Prex1/Racgap1/Stk10/Tagap/Vamp3/Vav1/Vav3	28	Liver	Male	WT	Up
R-MMU-397795	G-protein beta:gamma signalling	10/775	26/6720	0.384615384615385	3.33498759305211	4.3068092741813	0.000369233952390059	0.0067345062185926	0.00593985053844878	Akt1/Akt3/Arhgef6/Btk/Gng2/Gngt2/Pik3cg/Pik3r5/Pik3r6/Plcb2	10	Liver	Male	WT	Up
R-MMU-389357	CD28 dependent PI3K/Akt signaling	9/775	22/6720	0.409090909090909	3.54721407624633	4.32047460890344	0.000425090122154581	0.00748106252292575	0.00659831497850424	Akt1/Akt3/Cd28/Cd80/Cd86/Fyn/Lck/Map3k14/Map3k8	9	Liver	Male	WT	Up
R-MMU-4420097	VEGFA-VEGFR2 Pathway	22/775	90/6720	0.244444444444444	2.11956989247312	3.86049455035165	0.000427998809416491	0.00748106252292575	0.00659831497850424	Actg1/Akt1/Akt3/Axl/Cdh5/Cyba/Cybb/Dock1/Elmo1/Fyn/Itgb3/Mapkapk3/Ncf1/Ncf2/Ncf4/Nckap1l/Prkcb/Prkcd/Shc2/Vav1/Vav3/Wasf2	22	Liver	Male	WT	Up
R-MMU-1280215	Cytokine Signaling in Immune system	63/775	367/6720	0.171662125340599	1.48847675134042	3.4746794473774	0.000630499876947621	0.0107957019746746	0.00952183487635184	Akt1/Akt3/App/Casp1/Cbl/Cd40/Cdk1/Clcf1/Csf1r/Csf2rb/Csf2rb2/Dusp4/Ebi3/Eda2r/Eif4e3/Fyn/Grap2/Hck/Hspa2/Ifngr1/Ifngr2/Il10ra/Il18bp/Il18rap/Il1a/Il1b/Il1r2/Il21r/Il22ra1/Il2rb/Il2rg/Il7r/Ilf3/Inpp5d/Irak3/Irs2/Lck/Ltb/Lyn/Map2k6/Map3k14/Map3k3/Map3k8/Mapk7/Mapkapk3/Nfkb1/Pik3cd/Ppp2cb/Prkcd/Prlr/Ptpn6/Rnasel/Sh2b3/Sla/Syk/Tnf/Tnfrsf11a/Tnfrsf12a/Tnfrsf13b/Tnfrsf1b/Tnfsf13/Tollip/Vav1	63	Liver	Male	WT	Up
R-MMU-9006934	Signaling by Receptor Tyrosine Kinases	61/775	353/6720	0.172804532577904	1.49838252764324	3.47304154514803	0.00064420006341745	0.0108096770641448	0.00953416093857827	Actg1/Akt1/Akt3/Aph1b/Arhgef7/Atp6v0d2/Atp6v1b2/Axl/Cbl/Cdh5/Col4a3/Col4a4/Col5a2/Ctsd/Cyba/Cybb/Dock1/Dusp4/Elmo1/Fgfr1/Flt1/Flt4/Fyn/Grap/Grap2/Hbegf/Hgf/Igf1r/Irs2/Itgb3/Lck/Lyn/Mapk7/Mapkapk3/Mmp9/Ncf1/Ncf2/Ncf4/Nckap1l/Ncstn/Nrg1/Nrp2/Ntf3/Ntrk2/Pdgfb/Pdgfra/Ppp2cb/Prkcb/Prkcd/Ptpn6/Ralgds/Rap1b/Sh2b3/Sh3kbp1/Shc2/Tgfbr3/Thbs2/Tlr9/Vav1/Vav3/Wasf2	61	Liver	Male	WT	Up
R-MMU-389513	CTLA4 inhibitory signaling	8/775	19/6720	0.421052631578947	3.6509337860781	4.17766021319713	0.000711080143137312	0.0116909728677758	0.0103114659382051	Akt1/Akt3/Cd80/Cd86/Fyn/Lck/Lyn/Ppp2cb	8	Liver	Male	WT	Up
